Year,Source,URL,Letters,Words,Sentences,Paragraphs
2010,jornada,https://www.jornada.com.mx/2010/08/02/mundo/020n1mun,4467,894,31,20
2010,cubadebate,http://www.cubadebate.cu/noticias/2010/05/02/evo-nacionalizo-la-generacion-electrica/,3561,709,31,10
2010,lostiempos,https://www.lostiempos.com/actualidad/economia/20100815/panificadores-incrementaran-pan-10-centavos-partir-este-lunes,991,216,5,6
2010,lostiempos,https://www.lostiempos.com/actualidad/nacional/20100607/autoridad-control-bosques-decomisa-lena-equivalente-mas-40-camiones,1137,242,9,8
2010,andina,https://andina.pe/agencia/noticia-con-primera-piedra-escuela-naval-boliviana-ilo-se-ha-pasado-las-palabras-a-los-hechos-326580.aspx,1278,269,8,7
2010,elmundo,https://www.elmundo.es/america/2010/12/09/noticias/1291932203.html,3364,701,21,18
2010,elmundo,https://www.elmundo.es/america/2010/01/03/noticias/1262553242.html,3083,618,22,17
2010,lostiempos,https://www.lostiempos.com/actualidad/local/20100314/pasorapa-ahora-es-reserva-natural,2540,495,8,6
2010,andina,https://andina.pe/agencia/noticia-medicos-dan-su-aprobacion-para-presidente-evo-morales-viaje-a-japon-331419.aspx,2767,571,16,14
2010,lostiempos,https://www.lostiempos.com/actualidad/economia/20100328/bolivia-paises-menor-chance-negocio,2598,515,15,10
2010,elmundo,https://www.elmundo.es/america/2010/04/26/noticias/1272318286.html,1151,224,7,7
2010,eju,https://eju.tv/2010/01/nueva-nomenclatura-estatal-comienza-a-usarse-en-bolivia/,8089,1522,56,35
2010,bbc,https://www.bbc.com/mundo/economia/2010/08/100809_2257_bolivia_contrabando_protestas_gz,2626,524,18,12
2010,lostiempos,https://www.lostiempos.com/actualidad/economia/20101010/bolivia-anuncian-creacion-empresa-boliviana-oro,1342,268,8,8
2010,lostiempos,https://www.lostiempos.com/actualidad/nacional/20101003/informe-revela-que-90-castigos-militares-pais-son-torturas,1987,406,13,13
2010,bbc,https://www.bbc.com/mundo/noticias/2010/10/101008_bolivia_evo_morales_ley_antirracismo_mr,2802,576,20,18
2010,eju,https://eju.tv/2010/02/evo-morales-lanzar-la-coca-colla-y-pone-en-riesgo-el-imperio-de-la-coca-cola/,1274,282,9,6
2010,eju,https://eju.tv/2010/12/evo-promulg-nueva-ley-educativa-dijo-que-el-maestro-es-el-soldado-de-la-liberacin-y-descolonizacin/,2109,409,16,14
2010,lostiempos,https://www.lostiempos.com/actualidad/nacional/20100712/familiares-despiden-victimas-tragedia-castelldefels,1748,375,20,15
2010,eju,https://eju.tv/2010/01/evo-aplaude-a-militares-y-denuncia-contubernio-policial-coronel-designado-comandante-causa-malestar-en-la-polica/,12716,2537,82,69
2010,eju,https://eju.tv/2010/10/unas-nueve-personas-se-cambian-la-edad-por-da-es-una-prctica-comn-en-bolivia/,6352,1294,43,28
2010,bbc,https://www.bbc.com/mundo/america_latina/2010/05/100524_1720_bolivia_che_captor_gz,2215,489,16,15
2010,eluniversal,https://www.eluniversal.com.co/mundo/2010/03/14/bolivia-declina-postularse-para-sede-de-miss-universo-2010/,1051,207,6,1
2010,bbc,https://www.bbc.com/mundo/america_latina/2010/02/100208_2315_bolivia_justicia_comunitaria_lf,2740,562,21,16
2010,lostiempos,https://www.lostiempos.com/actualidad/nacional/20101105/presidentes-bolivia-brasil-chile-se-reuniran-27-noviembre-santa-cruz,4251,848,27,23
2010,eju,https://eju.tv/2010/12/bolivia-mantiene-su-decision-de-firmar-acuerdo-marco-con-eeuu-pese-al-espionaje/,974,190,5,1
2010,eju,https://eju.tv/2010/04/elecciones-costas-y-percy-derrotan-al-mas/,10410,2241,74,46
2010,bbc,https://www.bbc.com/mundo/noticias/2010/12/101206_el_patrimonio_jesuita_en_bolivia,4590,923,47,36
2010,lostiempos,https://www.lostiempos.com/actualidad/cultura/20100705/bolivia-peru-advierten-que-musica-etnica-esta-peligro-extincion,1665,336,13,8
2010,bbc,https://www.bbc.com/mundo/america_latina/2010/05/100517_1613_bolivia_morales_corrupcion_ministra_salud_rb,1266,251,9,9
2010,eju,https://eju.tv/2010/02/electoral-evo-sigue-repartiendo-cheques-entreg-bs-14-millones-a-alcaldas-y-empresas/,3620,731,31,13
2010,lostiempos,https://www.lostiempos.com/actualidad/nacional/20100426/revisaran-situacion-pacho-cortes,1145,216,5,4
2011,elciudadano,https://www.elciudadano.com/justicia/%C2%BFafrodescendientes-en-bolivia/01/05/,3934,818,35,10
2011,opinion,https://www.opinion.com.bo/articulo/el-pais/reportan-ataque-piranas-guayaramerin-muere-pescador/20111206101300388030.html,697,158,4,4
2011,opinion,https://www.opinion.com.bo/articulo/ciencia-tecnolog-iacute/tercio-territorio-bolivia-criticamente-degradado/20110626194400366960.html,8534,1659,51,33
